Country,Year,GDP,PPI,CPI,M2,ExchangeRate
United States,2021,23879.822706521034,3.3990323449255166,6.170147229211434,21863.031266744194,1.0
United States,2022,22224.650340802127,-1.3169543849877647,9.929994916909154,20438.51676708135,1.0
United States,2023,25487.9375594642,-1.0887928905784303,6.294699325590689,20582.32226305531,1.0
Japan,2021,4667.9249930734295,-1.335363261333995,0.6225619840330388,6936.819974224326,127.07940455791649
Japan,2022,4227.832787419519,2.278409247928993,6.574397205571772,7700.653776723441,129.26772053363663
Japan,2023,4587.073268281957,3.4282262109748105,5.468801872725837,7297.636865019251,137.65004468809414
Germany,2021,4116.055699297388,3.1413163111755305,6.344486762142675,6972.738390879352,0.9077896547564765
Germany,2022,4170.369387016323,,4.001692754768094,6002.570518412073,1.0293058030593818
Germany,2023,4955.133743781574,3.8298036934198763,7.358533898189027,7246.588108828235,0.9703833767230419
United Kingdom,2021,3153.2311890911315,1.544393482856818,4.380022823332725,5243.652473002861,0.7673493147284421
United Kingdom,2022,3128.4447570763014,2.0304567345016853,8.365479073505071,,
United Kingdom,2023,3449.5377413100455,1.4988768493252467,6.43461018336938,5193.948564770994,0.7408589878209547
France,2021,2922.5911908903004,0.4545681964320232,8.62180592328362,4260.171576752619,1.05612502308533
France,2022,3000.8044479565638,0.7310435227883145,7.842537229651518,4405.475229294448,0.9300462364839648
France,2023,3042.406822439501,,6.325681676690844,4099.427810738082,0.9264168802287033
India,2021,3396.3652047608566,-0.3905776847346285,8.685328525725101,21591.475964737227,83.30970992650519
India,2022,3056.4887477867655,-1.0012891993095756,1.1645784356292466,20117.23671794704,70.64167171199135
India,2023,3416.5526048872593,2.676678694925231,4.986389242679029,22265.161951414844,75.77415230504278
Italy,2021,2397.3697065138604,3.985020233144718,9.29495572823398,,1.0809229885304688
Italy,2022,2001.6258710386192,-1.728993068667908,8.907576438675951,3175.169675498189,1.0112062675933402
Italy,2023,2096.3103332154597,0.45991392312348545,,3427.0376235626854,0.9761587232733505
Brazil,2021,1634.0255018842156,0.10203822225123149,7.093852618839267,4155.316025365631,5.361156223035437
Brazil,2022,1754.473576496884,2.719372818711318,3.1376951074373327,,5.563060245223851
Brazil,2023,1647.4839556105583,3.1107555876490878,0.4975533774674268,4379.739579248478,
Canada,2021,2112.8394126528533,-1.7637282543235089,0.4499040571149804,1509.0309722586194,0.7179436609241308
Canada,2022,2481.354023702358,2.7394972038624923,6.68929721012681,1718.3303464610542,0.7356745776861016
Canada,2023,2032.319548958161,0.44716631113563743,0.35059382934534367,1775.6084694794008,0.7415109260334117
Russia,2021,1817.674815946714,-1.4097324463050551,7.048905509756839,3248.3417514106204,62.106800010743044
Russia,2022,,1.8867924439063928,0.05119926207773573,3301.0813494835497,73.24831709103833
Russia,2023,1698.6980501634848,4.964918066504155,0.36171886817959686,3574.36708851114,68.1890311570699
South Korea,2021,2132.0670751644548,4.695819576258321,1.1690200441168952,3758.5035438745535,1249.4433085204682
South Korea,2022,1887.543530794065,3.84992192337789,0.5962376833515248,3215.8853966500687,1147.2270666811753
South Korea,2023,1880.3729279735671,4.465976420770975,6.0257581579871875,3487.2054678015415,1254.0691412636877
Australia,2021,1623.1934407525089,1.8444612370158455,2.671157303811861,2076.2849303951116,0.7230915942473748
Australia,2022,1649.053082251716,3.4988291281587562,3.991716991050176,2298.2634819061254,0.744399219724267
